"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPS"
"86","GTD","Jeff Segal","109","54.174","1:41:40.209","Green","Track","0.472","0.845","10.279","10.869","13.833","5.515","9.540","2.821","146.981"
"25","GTLM","Alexander Sims","114","52.726","1:41:42.647","Green","Track","0.459","0.821","9.895","10.592","13.684","5.434","9.142","2.699","151.144"
"4","GTLM","Oliver Gavin","84","1:32.436","1:41:43.471","Green","Track","0.000","0.000","13.422","11.154","14.358","5.883","9.533","2.799","0.000"
"912","GTLM","Laurens Vanthoor","114","51.503","1:41:48.884","Green","Track","0.467","0.833","9.567","10.363","13.309","5.215","9.018","2.731","148.555"
"67","GTLM","Ryan Briscoe","114","52.350","1:41:52.013","Green","Track","0.466","0.833","10.045","10.328","13.476","5.355","9.118","2.729","148.873"
"96","GTD","Jesse Krohn","98","54.336","1:41:53.834","Green","Track","0.477","0.850","10.778","10.742","13.889","5.454","9.346","2.800","145.440"
"73","GTD","Joerg Bergmeister","110","53.923","1:41:57.777","Green","Track","0.466","0.831","10.197","10.802","13.831","5.563","9.441","2.792","148.873"
"66","GTLM","Joey Hand","111","52.830","1:41:58.092","Green","Track","0.469","0.833","9.696","10.379","13.504","5.717","9.456","2.776","147.921"
"48","GTD","Bryan Sellers","110","53.599","1:41:59.925","Green","Track","0.478","0.854","10.142","10.816","13.752","5.467","9.305","2.785","145.136"
"50","GTD","Gunnar Jeannette","109","53.771","1:42:00.865","Green","Track","0.475","0.845","10.069","10.909","13.902","5.480","9.301","2.790","146.053"
"28","GTD","Patrick Long","110","53.093","1:42:03.714","Green","Track","0.475","0.847","9.832","10.584","13.812","5.402","9.349","2.792","146.053"
"24","GTLM","Martin Tomczyk","114","52.571","1:42:04.977","Green","Track","0.472","0.844","9.869","10.594","13.642","5.331","9.086","2.733","146.981"
"16","GTD","Jeroen Mul","109","54.072","1:42:10.031","Green","Track","0.466","0.831","9.863","10.867","14.498","5.528","9.254","2.765","148.873"
"007","GTD","James Davison","110","1:02.325","1:42:18.171","Green","Track","0.000","0.000","12.562","11.128","14.042","5.663","9.587","2.818","0.000"
"15","GTD","Robert Alon","110","55.197","1:42:18.504","Green","Track","0.475","0.851","10.492","11.203","14.363","5.509","9.492","2.812","146.053"
"3","GTLM","Antonio Garcia","115","53.412","1:42:19.229","Green","Track","0.463","0.825","10.164","11.016","13.810","5.357","9.062","2.715","149.838"
"14","GTD","Scott Pruett","110","55.932","1:42:21.242","Green","Track","0.472","0.846","10.393","11.109","14.760","5.829","9.692","2.831","146.981"
"63","GTD","Alessandro Balzan","110","55.741","1:42:21.438","Green","Track","0.469","0.845","10.722","11.109","14.191","5.883","9.700","2.822","147.921"
"93","GTD","Andy Lally","110","53.420","1:42:26.529","Green","Track","0.475","0.847","9.983","10.726","13.861","5.456","9.292","2.780","146.053"
"23","GTD","Townsend Bell","110","1:36.141","1:42:28.010","Green","Pit","0.475","0.846","10.089","10.790","14.239","5.556","12.164","41.982","146.053"
"911","GTLM","Patrick Pilet","115","52.328","1:42:29.420","Green","Track","0.465","0.832","9.625","10.359","13.464","5.340","9.444","2.799","149.194"
"57","GTD","Lawson Aschenbach","110","1:03.023","1:42:29.756","Green","Track","0.000","0.000","12.685","11.230","14.222","5.647","9.919","2.839","0.000"
"86","GTD","Jeff Segal","110","53.991","1:42:34.200","Green","Track","0.475","0.850","10.107","10.866","13.930","5.460","9.481","2.822","146.053"
"25","GTLM","Alexander Sims","115","52.419","1:42:35.066","Green","Track","0.457","0.816","9.895","10.483","13.556","5.357","9.159","2.696","151.805"
"4","GTLM","Oliver Gavin","85","52.851","1:42:36.322","Green","Track","0.472","0.844","10.241","10.554","13.539","5.288","9.152","2.761","146.981"
"912","GTLM","Laurens Vanthoor","115","51.471","1:42:40.355","Green","Track","0.465","0.834","9.598","10.362","13.416","5.229","8.862","2.705","149.194"
"67","GTLM","Ryan Briscoe","115","51.926","1:42:43.939","Green","Track","0.464","0.857","9.729","10.328","13.436","5.304","9.079","2.729","149.515"
"96","GTD","Jesse Krohn","99","53.294","1:42:47.128","Green","Track","0.475","0.848","9.991","10.633","13.784","5.446","9.304","2.813","146.053"
"66","GTLM","Joey Hand","112","52.923","1:42:51.015","Green","Track","0.468","0.837","9.988","10.643","13.548","5.442","9.248","2.749","148.237"
"73","GTD","Joerg Bergmeister","111","54.315","1:42:52.092","Green","Track","0.472","0.839","10.119","11.117","14.083","5.475","9.427","2.783","146.981"
"48","GTD","Bryan Sellers","111","53.001","1:42:52.926","Green","Track","0.473","0.843","9.955","10.679","13.624","5.400","9.243","2.784","146.670"
"50","GTD","Gunnar Jeannette","110","53.594","1:42:54.459","Green","Track","0.473","0.845","9.958","10.869","13.862","5.490","9.305","2.792","146.670"
"28","GTD","Patrick Long","111","53.027","1:42:56.741","Green","Track","0.472","0.843","9.892","10.603","13.785","5.366","9.287","2.779","146.981"
"24","GTLM","Martin Tomczyk","115","52.220","1:42:57.197","Green","Track","0.464","0.832","9.811","10.444","13.589","5.348","9.008","2.724","149.515"
"16","GTD","Jeroen Mul","110","53.145","1:43:03.176","Green","Track","0.467","0.834","9.894","10.747","13.795","5.475","9.172","2.761","148.555"
"007","GTD","James Davison","111","54.209","1:43:12.380","Green","Track","0.475","0.848","10.099","10.904","13.965","5.581","9.533","2.804","146.053"
"3","GTLM","Antonio Garcia","116","53.746","1:43:12.975","Green","Track","0.458","0.821","10.082","10.717","14.002","5.663","9.275","2.728","151.474"
"15","GTD","Robert Alon","111","55.557","1:43:14.061","Green","Track","0.474","0.854","10.223","10.959","14.197","6.160","9.870","2.820","146.361"
"14","GTD","Scott Pruett","111","55.841","1:43:17.083","Green","Track","0.476","0.850","10.603","11.190","14.544","5.715","9.635","2.828","145.746"
"63","GTD","Alessandro Balzan","111","55.898","1:43:17.336","Green","Track","0.479","0.855","10.595","11.210","14.513","5.765","9.668","2.813","144.833"
"93","GTD","Andy Lally","111","53.213","1:43:19.742","Green","Track","0.470","0.843","9.966","10.652","13.796","0.000","0.000","2.768","147.606"
"911","GTLM","Patrick Pilet","116","51.983","1:43:21.403","Green","Track","0.473","0.846","9.703","10.356","13.484","5.316","9.064","2.741","146.670"
"57","GTD","Lawson Aschenbach","111","53.726","1:43:23.482","Green","Track","0.477","0.850","10.105","10.767","13.741","5.536","9.445","2.805","145.440"
"86","GTD","Jeff Segal","111","54.158","1:43:28.358","Green","Track","0.475","0.849","10.109","10.792","13.938","5.577","9.593","2.825","146.053"
"25","GTLM","Alexander Sims","116","53.322","1:43:28.388","Green","Track","0.456","0.815","10.139","10.632","13.691","5.512","9.357","2.720","152.138"
"4","GTLM","Oliver Gavin","86","53.310","1:43:29.632","Green","Track","0.467","0.834","10.096","10.978","13.534","5.384","9.265","2.752","148.555"
