"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SPS"
"2","P","Scott Sharp","6","1:56.546","11:46.751","Green","Track","5.016","9.385","18.983","0.465","21.425","26.171","19.300","11.356","4.445","176.808"
"31","P","Eric Curran","6","1:57.061","11:49.656","Green","Track","5.065","9.377","19.050","0.467","21.482","26.454","19.454","11.207","4.505","176.051"
"90","P","Marc Goossens","6","1:57.163","11:50.310","Green","Track","5.015","9.381","19.143","0.465","21.436","26.264","19.568","11.411","4.480","176.808"
"85","P","Misha Goikhberg","6","1:57.110","11:50.605","Green","Track","4.955","9.364","19.125","0.459","21.786","26.086","19.516","11.380","4.439","179.120"
"5","P","Christian Fittipaldi","6","1:57.161","11:51.422","Green","Track","5.044","9.265","19.052","0.467","21.654","26.626","19.399","11.174","4.480","176.051"
"38","PC","James French","6","2:01.377","12:14.046","Green","Track","5.290","9.724","19.837","0.494","22.199","27.404","20.266","11.494","4.669","166.429"
"20","PC","Don Yount","6","2:03.857","12:30.692","Green","Track","5.354","10.102","20.178","0.498","22.616","28.054","20.554","11.775","4.726","165.092"
"66","GTLM","Dirk Mueller","6","2:04.016","12:33.556","Green","Track","5.402","9.966","20.334","0.496","22.248","28.159","20.617","11.928","4.866","165.758"
"25","GTLM","Alexander Sims","6","2:04.336","12:34.455","Green","Track","5.377","9.914","20.378","0.497","22.460","28.212","20.713","11.961","4.824","165.424"
"912","GTLM","Gianmaria Bruni","6","2:04.110","12:35.321","Green","Track","5.408","9.993","20.352","0.498","22.444","28.056","20.608","11.885","4.866","165.092"
"911","GTLM","Patrick Pilet","6","2:04.480","12:35.930","Green","Track","5.347","10.081","20.423","0.494","22.541","28.218","20.653","11.872","4.851","166.429"
"67","GTLM","Ryan Briscoe","6","2:04.073","12:37.801","Green","Track","5.348","9.930","20.352","0.494","22.349","28.263","20.570","11.938","4.829","166.429"
"4","GTLM","Oliver Gavin","6","2:05.267","12:43.760","Green","Track","5.440","10.108","20.399","0.504","22.535","28.648","20.858","11.886","4.889","163.127"
"3","GTLM","Jan Magnussen","6","2:05.472","12:45.125","Green","Track","5.400","10.035","20.422","0.499","22.572","28.648","21.026","12.014","4.856","164.761"
"24","GTLM","Martin Tomczyk","6","2:03.739","12:45.285","Green","Track","5.384","9.884","20.160","0.496","22.313","28.089","20.646","11.984","4.783","165.758"
"96","GTD","Jesse Krohn","6","2:07.909","12:58.070","Green","Track","5.489","10.311","20.922","0.516","23.146","29.112","21.266","12.213","4.934","159.333"
"26","PC","Mark Kvamme","6","2:08.062","12:58.470","Green","Track","5.375","10.502","20.886","0.530","23.150","29.351","21.357","12.086","4.825","155.124"
"73","GTD","Patrick Lindsey","6","2:08.771","13:03.233","Green","Track","5.489","10.243","20.896","0.508","23.275","29.489","21.572","12.331","4.968","161.842"
"16","GTD","Jeroen Mul","6","2:09.006","13:04.358","Green","Track","5.461","10.457","20.846","0.504","23.442","29.579","21.325","12.422","4.970","163.127"
"15","GTD","Scott Pruett","6","2:09.007","13:05.437","Green","Track","5.478","10.470","20.955","0.506","23.299","29.454","21.502","12.367","4.976","162.482"
"63","GTD","Christina Nielsen","6","2:08.911","13:06.816","Green","Track","5.480","10.404","20.802","0.506","23.155","29.853","21.443","12.314","4.954","162.482"
"57","GTD","Andrew Davis","6","2:08.918","13:07.265","Green","Track","5.481","10.406","20.860","0.505","23.305","29.620","21.370","12.392","4.979","162.804"
"14","GTD","Robert Alon","6","2:08.922","13:07.943","Green","Track","5.461","10.457","20.869","0.506","23.595","29.287","21.402","12.391","4.954","162.482"
"86","GTD","Oswaldo Negri Jr.","6","2:09.295","13:08.902","Green","Track","5.487","10.490","21.006","0.507","23.356","29.576","21.484","12.424","4.965","162.162"
"50","GTD","Cooper MacNeil","6","2:10.706","13:19.184","Green","Track","5.539","10.661","21.095","0.510","23.676","29.961","21.799","12.469","4.996","161.208"
"28","GTD","Michael de Quesada","6","2:10.640","13:19.571","Green","Track","5.483","10.668","21.014","0.506","23.740","30.211","21.666","12.398","4.954","162.482"
"33","GTD","Ben Keating","6","2:10.443","13:20.137","Green","Track","5.557","10.405","21.126","0.512","23.546","30.201","21.755","12.339","5.002","160.578"
"75","GTD","Kenny Habul","6","2:09.940","13:23.745","Green","Track","5.626","10.405","20.984","0.518","23.583","29.573","21.770","12.440","5.041","158.718"
"48","GTD","Madison Snow","6","2:23.814","13:24.301","Green","Pit","5.502","10.384","20.797","0.508","23.185","29.627","21.413","13.984","18.414","161.842"
"54","GTD","Jonathan Bennett","6","2:12.595","13:29.428","Green","Track","5.487","10.763","21.309","0.511","24.023","30.754","22.074","12.711","4.963","160.892"
"10","P","Ricky Taylor","7","1:56.122","13:37.296","Green","Track","5.045","9.287","18.892","0.478","21.052","26.278","19.522","11.100","4.468","172.000"
"52","P","Jose Gutierrez","7","1:57.121","13:42.144","Green","Track","4.979","9.421","19.090","0.466","21.670","26.426","19.408","11.203","4.458","176.429"
"22","P","Johannes van Overbeek","7","1:57.351","13:42.707","Green","Track","4.934","9.672","19.087","0.463","21.507","26.574","19.409","11.276","4.429","177.572"
"2","P","Scott Sharp","7","1:56.996","13:43.747","Green","Track","4.990","9.452","19.299","0.464","21.360","26.200","19.418","11.375","4.438","177.189"
"31","P","Eric Curran","7","1:57.564","13:47.220","Green","Track","5.044","9.384","18.972","0.467","22.078","26.482","19.467","11.178","4.492","176.051"
"90","P","Marc Goossens","7","1:57.652","13:47.962","Green","Track","5.003","9.340","19.130","0.465","21.522","26.918","19.466","11.344","4.464","176.808"
"85","P","Misha Goikhberg","7","1:57.740","13:48.345","Green","Track","4.939","9.486","19.206","0.460","21.663","26.844","19.377","11.331","4.434","178.730"
"5","P","Christian Fittipaldi","7","1:57.845","13:49.267","Green","Track","5.023","9.148","19.081","0.467","21.746","27.126","19.525","11.239","4.490","176.051"
"93","GTD","Katherine Legge","6","2:11.298","13:55.510","Green","Track","5.579","10.834","20.994","0.508","23.322","31.311","21.436","12.312","5.002","161.842"
"38","PC","James French","7","2:01.181","14:15.227","Green","Track","5.284","9.790","19.715","0.491","22.201","27.390","20.076","11.558","4.676","167.446"
