"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP4","SP5"
"911","GTLM","Dirk Werner","35","3:20.007","1:24:45.249","Green","Track","71.205","23.886","24.347","9.683","9.701","0.455","4.657","0.419","22.825","24.293","8.536","147.478","160.149"
"93","GTD","Andy Lally","34","2:09.744","1:24:56.472","Green","Track","1.471","20.964","24.768","9.426","9.907","0.460","4.713","0.423","23.508","25.422","8.682","145.875","158.634"
"26","PC","Nicholas Boulle","36","2:05.259","1:24:58.531","Green","Track","1.406","19.734","24.190","9.485","9.400","0.442","4.547","0.409","23.043","24.341","8.262","151.815","164.064"
"3","GTLM","Antonio Garcia","36","2:05.930","1:25:02.500","Green","Track","1.448","19.951","24.141","9.305","9.723","0.450","4.620","0.414","22.810","24.511","8.556","149.116","162.083"
"20","PC","Buddy Rice","36","2:04.770","1:25:11.170","Green","Track","1.392","19.850","24.375","9.377","9.323","0.437","4.508","0.404","22.863","24.041","8.200","153.552","166.095"
"70","P","Tom Long","26","2:02.801","1:25:14.442","Green","Track","1.342","20.059","23.433","9.313","9.035","0.421","4.359","0.392","23.166","23.136","8.145","159.388","171.179"
"28","GTD","Daniel Morad","35","2:10.354","1:25:17.493","Green","Track","1.469","20.572","24.975","9.605","9.911","0.460","4.705","0.421","23.596","25.986","8.654","145.875","159.388"
"48","GTD","Bryan Sellers","35","2:10.015","1:25:18.075","Green","Track","1.465","20.578","25.200","9.526","9.881","0.454","4.637","0.422","23.561","25.590","8.701","147.802","159.010"
"33","GTD","Jeroen Bleekemolen","35","2:10.266","1:25:18.543","Green","Track","1.462","20.789","25.014","9.679","9.798","0.458","4.669","0.426","23.682","25.721","8.568","146.512","157.517"
"73","GTD","Joerg Bergmeister","35","2:10.836","1:25:21.154","Green","Track","1.470","20.575","25.271","9.704","9.908","0.457","4.661","0.419","23.820","25.855","8.696","146.832","160.149"
"63","GTD","Alessandro Balzan","35","2:10.629","1:25:21.500","Green","Track","1.472","21.141","25.091","9.647","9.857","0.456","4.670","0.417","23.379","25.915","8.585","147.154","160.917"
"57","GTD","Lawson Aschenbach","35","2:10.501","1:25:22.549","Green","Track","1.504","20.868","25.131","9.592","10.040","0.464","4.738","0.423","23.351","25.511","8.878","144.617","158.634"
"67","GTLM","Ryan Briscoe","28","2:06.364","1:25:24.885","Green","Track","1.455","20.134","24.121","9.368","9.737","0.455","4.654","0.423","22.809","24.741","8.466","147.478","158.634"
