"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP1","SP4"
"75","GTD","Kenny Habul","10","1:33.055","18:26.926","Green","Track","3.418","12.750","0.573","13.982","10.483","9.974","0.577","13.632","10.466","10.323","2.413","4.464","138.030","140.618"
"22","P","Ed Brown","12","1:29.810","18:27.956","Green","Track","3.269","12.213","0.521","13.500","10.435","8.929","0.520","13.402","10.611","10.181","2.215","4.014","151.806","156.031"
"57","GTD","Lawson Aschenbach","12","1:31.547","18:34.901","Green","Track","3.370","12.573","0.568","13.489","10.372","9.814","0.575","13.423","10.282","10.192","2.420","4.469","139.245","141.107"
"26","PC","Tomy Drissi","12","1:32.001","18:46.188","Green","Track","3.273","12.409","0.552","13.713","10.746","9.428","0.552","13.735","10.652","10.330","2.336","4.275","143.281","146.986"
"93","GTD","Katherine Legge","12","1:31.866","18:46.667","Green","Track","3.292","12.496","0.562","13.586","10.451","9.654","0.562","13.557","10.584","10.344","2.385","4.393","140.731","144.371"
"48","GTD","Bryan Sellers","12","1:31.714","18:48.555","Green","Track","3.456","12.748","0.562","13.595","10.471","9.680","0.563","13.317","10.296","10.242","2.389","4.395","140.731","144.114"
"5","P","Christian Fittipaldi","13","1:28.788","18:50.313","Green","Track","3.388","11.512","0.518","13.660","10.789","8.830","0.520","13.442","10.203","9.768","2.154","4.004","152.685","156.031"
"28","GTD","Daniel Morad","12","1:32.384","18:51.744","Green","Track","3.478","12.654","0.565","13.597","10.499","9.710","0.567","13.459","10.469","10.542","2.406","4.438","139.984","143.098"
"31","P","Eric Curran","13","1:26.211","18:51.925","Green","Track","3.185","11.195","0.511","12.860","10.231","8.874","0.524","13.383","9.759","9.475","2.179","4.035","154.777","154.840"
"16","GTD","Corey Lewis","12","1:32.276","18:52.444","Green","Track","3.372","12.531","0.570","13.790","10.528","9.854","0.575","13.494","10.402","10.278","2.417","4.465","138.756","141.107"
"14","GTD","Scott Pruett","12","1:33.751","18:55.194","Green","Track","3.735","12.666","0.561","13.850","10.473","9.598","0.558","14.765","10.599","10.204","2.377","4.365","140.982","145.406"
"85","P","Misha Goikhberg","13","1:28.036","18:55.476","Green","Track","3.165","11.535","0.508","12.975","10.156","8.797","0.505","13.307","10.429","10.457","2.189","4.013","155.691","160.666"
"55","P","Jonathan Bomarito","13","1:27.175","18:55.731","Green","Track","3.245","11.877","0.517","12.997","10.482","8.890","0.516","12.865","10.042","9.582","2.143","4.019","152.980","157.241"
"10","P","Ricky Taylor","13","1:26.520","18:56.189","Green","Track","3.142","11.315","0.509","13.063","10.388","8.803","0.511","13.101","9.963","9.621","2.150","3.954","155.385","158.780"
"63","GTD","Christina Nielsen","12","1:33.476","18:56.240","Green","Track","3.400","12.705","0.557","13.502","10.490","9.652","0.561","14.444","10.459","10.559","2.383","4.764","141.994","144.628"
"70","P","Tom Long","13","1:28.078","18:58.807","Green","Track","3.310","11.500","0.510","13.346","10.784","8.927","0.518","12.974","10.002","9.950","2.210","4.047","155.080","156.634"
"90","P","Renger Van Der Zande","13","1:28.048","18:59.280","Green","Track","3.637","12.285","0.525","12.952","10.017","8.873","0.520","12.914","9.899","9.991","2.196","4.239","150.649","156.031"
"33","GTD","Ben Keating","12","1:33.109","18:59.330","Green","Track","3.440","12.808","0.567","13.841","10.525","9.622","0.573","13.797","10.443","10.603","2.394","4.496","139.490","141.599"
"2","P","Scott Sharp","13","1:28.645","19:00.080","Green","Track","3.700","12.208","0.509","13.367","10.188","8.777","0.507","13.394","10.117","9.806","2.151","3.921","155.385","160.032"
"50","GTD","Cooper MacNeil","12","1:34.566","19:02.551","Green","Track","3.492","12.694","0.573","14.453","10.816","9.780","0.583","14.448","10.454","10.416","2.410","4.447","138.030","139.170"
