"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP3"
"73","GTD","Patrick Lindsey","154","1:47.509","5:00:19.412","Green","Track","3.379","8.854","12.621","3.932","0.506","14.034","22.004","32.740","5.945","3.494","162.370"
"85","P","Stephen Simpson","166","1:34.798","5:00:26.131","Green","Track","3.022","8.072","11.200","3.523","0.454","12.037","19.455","28.888","5.093","3.054","180.967"
"38","PC","Kyle Masson","161","1:39.419","5:00:30.916","Green","Track","3.191","8.349","11.783","3.732","0.482","12.746","20.304","30.306","5.308","3.218","170.455"
"54","GTD","Colin Braun","153","1:47.006","5:00:38.652","Green","Track","3.359","9.089","12.516","3.880","0.499","14.009","21.950","32.275","5.945","3.484","164.647"
"2","P","Luis Felipe Derani","164","1:38.037","5:00:42.610","Green","Track","3.049","8.232","11.197","3.499","0.451","13.311","20.539","29.481","5.197","3.081","182.171"
"33","GTD","Jeroen Bleekemolen","154","1:47.164","5:00:48.493","Green","Track","3.291","8.798","12.487","3.896","0.502","13.908","21.917","32.513","6.340","3.512","163.664"
"93","GTD","Andy Lally","155","1:46.084","5:00:49.928","Green","Track","3.309","8.882","12.491","3.894","0.503","13.909","21.715","32.093","5.850","3.438","163.338"
"4","GTLM","Tommy Milner","159","1:46.067","5:00:53.039","Green","Track","3.317","8.716","12.466","3.906","0.503","13.464","21.364","32.924","5.952","3.455","163.338"
"86","GTD","Jeff Segal","155","1:48.559","5:00:53.461","Green","Track","3.348","8.965","12.476","3.885","0.502","13.848","21.809","33.845","6.390","3.491","163.664"
"90","P","Marc Goossens","165","1:40.081","5:00:57.003","Green","Track","3.051","8.203","11.365","3.558","0.472","13.607","21.156","30.189","5.340","3.140","174.066"
"75","GTD","Tristan Vautier","152","1:46.673","5:00:59.545","Green","Track","3.349","8.910","12.564","3.885","0.499","14.103","21.769","32.313","5.820","3.461","164.647"
"96","GTD","Jens Klingmann","155","1:47.441","5:01:00.705","Green","Track","3.269","8.832","12.420","3.857","0.499","14.440","22.096","32.255","6.283","3.490","164.647"
"63","GTD","Alessandro Balzan","155","1:46.589","5:01:01.052","Green","Track","3.290","8.718","12.377","3.868","0.500","13.914","22.295","32.308","5.913","3.406","164.318"
"55","P","Jonathan Bomarito","166","1:36.806","5:01:01.110","Green","Track","2.985","8.030","11.189","3.522","0.454","12.181","19.782","30.124","5.444","3.095","180.967"
"57","GTD","Lawson Aschenbach","155","1:46.192","5:01:01.359","Green","Track","3.332","8.759","12.437","3.877","0.511","13.734","21.887","32.391","5.850","3.414","160.781"
"66","GTLM","Joey Hand","160","1:42.753","5:01:09.334","Green","Track","3.246","8.548","12.194","3.812","0.491","13.272","20.949","31.306","5.582","3.353","167.330"
"14","GTD","Sage Karam","155","1:46.488","5:01:12.745","Green","Track","3.295","8.888","12.545","3.884","0.495","13.815","21.841","32.424","5.847","3.454","165.978"
"50","GTD","Shane Van Gisbergen","155","1:46.077","5:01:13.835","Green","Track","3.321","8.736","12.500","3.902","0.503","13.687","21.803","32.348","5.846","3.431","163.338"
"52","P","Olivier Pla","166","2:01.104","5:01:14.079","Green","Track","3.010","7.831","11.200","3.533","0.456","12.069","19.762","54.711","5.417","3.115","180.173"
"911","GTLM","Patrick Pilet","159","1:43.491","5:01:15.047","Green","Track","3.241","8.427","12.128","3.815","0.493","13.216","21.181","31.876","5.757","3.357","166.651"
"67","GTLM","Richard Westbrook","160","1:56.232","5:01:15.459","Green","Pit","3.240","8.406","12.203","3.821","0.492","13.154","20.984","31.676","6.692","15.564","166.990"
"31","P","Dane Cameron","157","1:35.505","5:01:20.505","Green","Track","2.963","7.885","11.215","3.503","0.449","12.619","19.639","29.118","5.071","3.043","182.982"
"912","GTLM","Gianmaria Bruni","160","1:42.441","5:01:22.948","Green","Track","3.270","8.474","12.169","3.817","0.492","13.095","20.857","31.359","5.571","3.337","166.990"
