"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"15","GTD","Jack Hawksworth","34","1:27.072","51:14.638","Green","Track","1.763","0.509","4.053","26.516","19.971","14.658","8.657","10.945","130.380"
"63","GTD","Alessandro Balzan","34","1:25.788","51:19.499","Green","Track","1.742","0.504","3.965","25.997","19.842","14.465","8.528","10.745","131.674"
"85","P","Misha Goikhberg","37","1:20.595","51:36.883","Green","Track","1.559","0.452","3.714","24.405","18.040","13.967","8.125","10.333","146.822"
"2","P","Ryan Dalziel","37","1:20.238","51:38.324","Green","Track","1.572","0.455","3.710","24.485","17.921","13.661","8.070","10.364","145.854"
"28","GTD","Daniel Morad","35","1:29.456","51:38.824","Green","Track","1.737","0.501","3.976","27.023","20.493","15.288","9.179","11.259","132.462"
"54","GTD","Colin Braun","34","1:26.387","51:42.683","Green","Track","1.763","0.507","4.008","26.042","20.010","14.472","8.685","10.900","130.895"
"33","GTD","Jeroen Bleekemolen","34","1:26.110","51:45.008","Green","Track","1.757","0.508","3.981","25.977","19.881","14.452","8.682","10.872","130.637"
"86","GTD","Oswaldo Negri Jr.","35","1:29.796","51:55.761","Green","Track","1.748","0.506","4.014","27.560","20.542","15.207","9.030","11.189","131.153"
"93","GTD","Katherine Legge","35","1:28.134","52:01.664","Green","Track","1.741","0.501","4.033","26.833","20.180","14.957","8.890","10.999","132.462"
"22","P","Johannes van Overbeek","37","1:22.084","52:01.684","Green","Track","1.561","0.451","3.721","24.733","19.094","14.167","8.052","10.305","147.148"
"10","P","Jordan Taylor","38","1:21.494","52:03.643","Green","Track","1.586","0.460","3.671","24.156","18.361","14.562","8.470","10.228","144.269"
"80","GTD","Mike Skeen","33","1:29.490","52:05.891","Green","Track","1.775","0.510","4.035","26.371","20.809","15.186","9.395","11.409","130.125"
"50","GTD","Cooper MacNeil","35","1:30.927","52:06.165","Green","Track","1.727","0.499","4.000","27.278","20.864","15.251","9.435","11.873","132.993"
"52","P","Olivier Pla","37","1:19.494","52:08.858","Green","Track","1.595","0.458","3.672","24.014","17.803","13.914","7.830","10.208","144.899"
"16","GTD","Jeroen Mul","35","1:27.153","52:10.866","Green","Track","1.765","0.510","3.986","26.393","19.999","14.772","8.728","11.000","130.125"
"62","GTLM","Toni Vilander","36","1:25.280","52:14.454","Green","Track","1.732","0.499","4.047","25.580","19.755","14.556","8.543","10.568","132.993"
"5","P","Joao Barbosa","38","1:21.093","52:14.723","Green","Track","1.595","0.460","3.826","24.932","18.436","13.612","7.995","10.237","144.269"
"66","GTLM","Joey Hand","36","1:24.162","52:16.998","Green","Track","1.719","0.495","4.049","25.400","19.547","14.023","8.411","10.518","134.068"
"911","GTLM","Dirk Werner","36","1:24.811","52:19.002","Green","Track","1.720","0.494","4.094","25.737","19.460","14.322","8.451","10.533","134.339"
"31","P","Dane Cameron","38","1:20.446","52:21.261","Green","Track","1.597","0.461","3.791","24.451","18.622","13.576","0.000","0.000","143.956"
