"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SP4"
"911","GTLM","Patrick Pilet","5","1:18.540","32:49.793","Green","Track","5.441","3.972","20.269","21.131","7.574","0.555","18.714","0.884","156.020"
"67","GTLM","Richard Westbrook","4","1:17.857","33:07.550","Green","Track","5.384","3.819","20.315","20.866","7.459","0.546","18.588","0.880","158.591"
"62","GTLM","Toni Vilander","4","1:17.904","33:12.836","Green","Track","5.401","3.931","20.219","21.014","7.509","0.552","18.402","0.876","156.868"
"25","GTLM","Bill Auberlen","4","1:18.048","33:16.144","Green","Track","5.345","3.891","20.455","20.978","7.407","0.545","18.557","0.870","158.882"
"24","GTLM","Martin Tomczyk","4","1:18.084","33:24.867","Green","Track","5.331","3.911","20.344","21.037","7.427","0.547","18.615","0.872","158.301"
"3","GTLM","Antonio Garcia","6","1:17.787","33:38.622","Green","Track","5.335","3.822","20.314","20.938","7.441","0.545","18.517","0.875","158.882"
"66","GTLM","Joey Hand","3","1:19.357","33:42.018","Green","Track","5.690","4.062","20.858","21.066","7.485","0.545","18.762","0.889","158.882"
"912","GTLM","Gianmaria Bruni","5","1:18.459","33:58.496","Green","Track","5.449","3.878","20.320","21.092","7.568","0.555","18.714","0.883","156.020"
"4","GTLM","Tommy Milner","6","1:18.024","34:02.957","Green","Track","5.399","3.870","20.380","20.984","7.469","0.548","18.492","0.882","158.013"
"911","GTLM","Patrick Pilet","6","1:29.645","34:19.438","Green","Pit","5.470","3.883","20.559","22.077","7.569","0.554","20.087","9.446","156.301"
"67","GTLM","Richard Westbrook","5","1:17.705","34:25.255","Green","Track","5.392","3.807","20.351","20.800","7.460","0.545","18.472","0.878","158.882"
"62","GTLM","Toni Vilander","5","1:17.664","34:30.500","Green","Track","5.368","3.878","20.202","20.912","7.490","0.550","18.389","0.875","157.438"
"25","GTLM","Bill Auberlen","5","1:18.104","34:34.248","Green","Track","5.341","3.906","20.490","21.010","7.412","0.545","18.532","0.868","158.882"
"24","GTLM","Martin Tomczyk","5","1:18.190","34:43.057","Green","Track","5.321","3.924","20.366","21.121","7.441","0.548","18.597","0.872","158.013"
"3","GTLM","Antonio Garcia","7","1:19.145","34:57.767","Green","Track","5.326","3.841","20.349","20.971","7.453","0.547","19.666","0.992","158.301"
"66","GTLM","Joey Hand","4","1:18.513","35:00.531","Green","Track","5.511","3.944","20.663","20.933","7.443","0.546","18.593","0.880","158.591"
"912","GTLM","Gianmaria Bruni","6","1:18.472","35:16.968","Green","Track","5.436","3.918","20.331","21.166","7.565","0.553","18.618","0.885","156.584"
"4","GTLM","Tommy Milner","7","1:18.155","35:21.112","Green","Track","5.403","3.880","20.467","20.995","7.443","0.545","18.542","0.880","158.882"
"67","GTLM","Richard Westbrook","6","1:17.722","35:42.977","Green","Track","5.370","3.831","20.344","20.855","7.438","0.543","18.463","0.878","159.468"
"62","GTLM","Toni Vilander","6","1:18.659","35:49.159","Green","Track","5.405","3.892","20.193","20.974","7.472","0.548","19.295","0.880","158.013"
"25","GTLM","Bill Auberlen","6","1:17.731","35:51.979","Green","Track","5.324","3.848","20.247","21.021","7.395","0.542","18.484","0.870","159.762"
"24","GTLM","Martin Tomczyk","6","1:18.158","36:01.215","Green","Track","5.314","3.913","20.317","21.047","7.397","0.543","18.750","0.877","159.468"
"66","GTLM","Joey Hand","5","1:17.910","36:18.441","Green","Track","5.432","3.919","20.368","20.877","7.438","0.541","18.453","0.882","160.057"
"3","GTLM","Antonio Garcia","8","1:25.706","36:23.473","Green","Track","5.844","4.064","21.265","24.381","9.013","0.645","19.620","0.874","134.249"
"912","GTLM","Gianmaria Bruni","7","1:18.161","36:35.129","Green","Track","5.435","3.871","20.288","21.044","7.534","0.551","18.555","0.883","157.152"
"4","GTLM","Tommy Milner","8","1:17.919","36:39.031","Green","Track","5.384","3.862","20.366","20.974","7.436","0.545","18.471","0.881","158.882"
"911","GTLM","Patrick Pilet","7","2:24.946","36:44.384","Green","Track","64.258","5.137","24.852","22.129","7.556","0.553","19.581","0.880","156.584"
"67","GTLM","Richard Westbrook","7","1:17.769","37:00.746","Green","Track","5.389","3.822","20.303","20.881","7.443","0.544","18.508","0.879","159.174"
"62","GTLM","Toni Vilander","7","1:17.660","37:06.819","Green","Track","5.402","3.884","20.222","20.860","7.463","0.547","18.406","0.876","158.301"
"25","GTLM","Bill Auberlen","7","1:17.961","37:09.940","Green","Track","5.332","3.892","20.345","21.064","7.388","0.542","18.529","0.869","159.762"
"24","GTLM","Martin Tomczyk","7","1:30.694","37:31.909","Green","Pit","5.346","3.940","20.375","22.126","7.484","0.547","21.627","9.249","158.301"
"66","GTLM","Joey Hand","6","1:17.855","37:36.296","Green","Track","5.428","3.902","20.369","20.815","7.448","0.544","18.470","0.879","159.174"
"3","GTLM","Antonio Garcia","9","1:17.714","37:41.187","Green","Track","5.328","3.846","20.222","20.972","7.419","0.544","18.506","0.877","159.174"
"912","GTLM","Gianmaria Bruni","8","1:18.667","37:53.796","Green","Track","5.423","3.905","20.449","21.039","7.546","0.554","18.870","0.881","156.301"
"4","GTLM","Tommy Milner","9","1:17.975","37:57.006","Green","Track","5.375","3.859","20.294","20.897","7.445","0.546","18.672","0.887","158.591"
"911","GTLM","Patrick Pilet","8","1:18.778","38:03.162","Green","Track","5.438","3.949","20.628","21.059","7.561","0.555","18.709","0.879","156.020"
"62","GTLM","Toni Vilander","8","1:20.947","38:27.766","Green","Track","5.401","3.951","20.340","21.779","8.478","0.645","19.478","0.875","134.249"
"67","GTLM","Richard Westbrook","8","1:29.514","38:30.260","Green","Pit","5.392","3.828","20.402","21.531","7.457","0.548","21.146","9.210","158.013"
"25","GTLM","Bill Auberlen","8","1:33.104","38:43.044","Green","Pit","5.338","3.889","21.817","22.823","8.150","0.615","21.351","9.121","140.798"
"66","GTLM","Joey Hand","7","1:17.742","38:54.038","Green","Track","5.424","3.872","20.265","20.833","7.460","0.547","18.464","0.877","158.301"
"3","GTLM","Antonio Garcia","10","1:17.740","38:58.927","Green","Track","5.314","3.811","20.287","21.027","7.427","0.545","18.452","0.877","158.882"
"4","GTLM","Tommy Milner","10","1:17.823","39:14.829","Green","Track","5.407","3.881","20.330","20.901","7.443","0.547","18.435","0.879","158.301"
"911","GTLM","Patrick Pilet","9","1:18.485","39:21.647","Green","Track","5.443","3.870","20.420","21.048","7.556","0.556","18.706","0.886","155.739"
"912","GTLM","Gianmaria Bruni","9","1:30.364","39:24.160","Green","Pit","5.422","3.974","20.633","21.596","7.574","0.557","21.269","9.339","155.459"
"62","GTLM","Toni Vilander","9","1:29.395","39:57.161","Green","Pit","5.423","3.917","20.348","20.960","7.500","0.551","21.134","9.562","157.152"
"66","GTLM","Joey Hand","8","1:17.729","40:11.767","Finish","Track","5.428","3.896","20.191","20.858","7.468","0.547","18.464","0.877","158.301"
"4","GTLM","Tommy Milner","11","1:18.112","40:32.941","Finish","Track","5.369","3.811","20.297","21.017","7.478","0.547","18.679","0.914","158.301"
"3","GTLM","Antonio Garcia","11","1:34.727","40:33.654","Finish","Pit","5.330","3.816","22.648","24.230","7.565","0.552","21.196","9.390","156.868"
"911","GTLM","Patrick Pilet","10","1:18.426","40:40.073","Finish","Track","5.451","3.855","20.348","21.002","7.571","0.554","18.763","0.882","156.301"
"38","PC","James French","1","51:42.258","51:42.258","Green","Track","0.000","6.541","26.279","26.294","9.985","0.668","21.071","0.924","129.627"
"26","PC","Garett Grist","1","51:52.633","51:52.633","Green","Track","0.000","6.301","27.813","25.916","9.743","0.734","22.760","1.044","117.971"
"20","PC","Don Yount","1","51:54.006","51:54.006","Green","Track","0.000","5.984","27.836","25.474","10.811","0.738","22.111","0.937","117.332"
"38","PC","James French","2","1:24.615","53:06.873","Green","Track","5.833","4.269","23.063","23.323","7.326","0.543","19.409","0.849","159.468"
"26","PC","Garett Grist","2","1:24.654","53:17.287","Green","Track","6.672","4.561","23.714","21.650","7.304","0.545","19.326","0.882","158.882"
"20","PC","Don Yount","2","1:25.119","53:19.125","Green","Track","6.640","4.714","24.058","21.613","7.330","0.543","19.355","0.866","159.468"
"38","PC","James French","3","1:17.909","54:24.782","Green","Track","5.348","3.798","20.100","20.644","7.249","0.538","19.385","0.847","160.950"
"26","PC","Garett Grist","3","1:19.303","54:36.590","Green","Track","5.563","4.042","21.305","20.870","7.275","0.543","18.841","0.864","159.468"
"20","PC","Don Yount","3","1:20.061","54:39.186","Green","Track","5.467","4.064","21.587","21.177","7.306","0.544","19.053","0.863","159.174"
"38","PC","James French","4","1:16.554","55:41.336","Green","Track","5.299","3.746","19.905","20.424","7.243","0.536","18.553","0.848","161.550"
"26","PC","Garett Grist","4","1:17.696","55:54.286","Green","Track","5.367","3.884","20.607","20.688","7.269","0.542","18.488","0.851","159.762"
"20","PC","Don Yount","4","1:18.838","55:58.024","Green","Track","5.357","3.898","20.839","21.127","7.325","0.542","18.896","0.854","159.762"
