"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP5"
"24","GTLM","John Edwards","39","1:43.213","1:25:23.233","Green","Track","21.246","15.427","12.269","15.165","11.100","0.512","21.917","5.357","0.220","159.801"
"912","GTLM","Gianmaria Bruni","49","1:42.399","1:25:28.356","Green","Track","21.024","15.290","12.286","14.953","11.112","0.510","21.661","5.344","0.219","160.428"
"96","GTD","Jesse Krohn","48","1:45.191","1:25:35.636","Green","Track","21.578","15.945","12.678","15.471","11.113","0.511","22.259","5.413","0.223","160.114"
"33","GTD","Trent Hindman","48","1:45.458","1:25:57.799","Green","Track","21.738","15.866","12.555","15.448","11.283","0.520","22.331","5.493","0.224","157.343"
"28","GTD","Patrick Long","46","1:46.218","1:25:57.939","Green","Track","21.401","15.768","12.773","15.481","11.133","0.510","23.188","5.735","0.229","160.428"
"73","GTD","Joerg Bergmeister","46","1:45.411","1:26:06.657","Green","Track","21.482","15.959","12.796","15.409","11.190","0.513","22.401","5.439","0.222","159.490"
"80","GTD","Mike Skeen","46","1:45.805","1:26:07.786","Green","Track","21.614","15.928","12.570","15.507","11.349","0.521","22.588","5.504","0.224","157.041"
"48","GTD","Bryan Sellers","48","1:45.768","1:26:09.402","Green","Track","21.704","16.124","12.694","15.663","11.176","0.512","22.270","5.405","0.220","159.801"
"15","GTD","Jack Hawksworth","48","1:45.315","1:26:10.870","Green","Track","21.825","15.878","12.497","15.461","11.174","0.514","22.352","5.394","0.220","159.179"
"57","GTD","Lawson Aschenbach","45","1:44.917","1:26:12.232","Green","Track","21.552","15.923","12.513","15.250","11.215","0.514","22.312","5.418","0.220","159.179"
"63","GTD","Alessandro Balzan","48","1:46.183","1:26:20.448","Green","Track","21.861","16.097","12.648","15.711","11.148","0.511","22.565","5.421","0.221","160.114"
"25","GTLM","Bill Auberlen","50","1:42.502","1:26:23.027","Green","Track","21.175","15.255","12.127","15.038","10.910","0.503","21.969","5.306","0.219","162.660"
"14","GTD","Robert Alon","47","1:46.254","1:26:28.173","Green","Track","21.926","15.961","12.594","15.590","11.188","0.514","22.836","5.422","0.223","159.179"
"911","GTLM","Patrick Pilet","49","1:43.198","1:26:33.778","Green","Track","21.107","15.427","12.345","15.118","11.138","0.513","21.964","5.364","0.222","159.490"
"54","GTD","Colin Braun","47","1:46.198","1:26:45.367","Green","Track","21.843","16.090","12.697","15.680","11.113","0.509","22.611","5.432","0.223","160.743"
"62","GTLM","Toni Vilander","50","1:42.550","1:26:47.183","Green","Track","21.054","15.334","12.163","15.158","11.023","0.505","21.787","5.307","0.219","162.016"
"66","GTLM","Dirk Mueller","50","1:42.555","1:26:47.998","Green","Track","21.172","15.327","12.124","15.480","10.933","0.501","21.562","5.240","0.216","163.310"
"3","GTLM","Antonio Garcia","50","1:42.688","1:26:49.123","Green","Track","21.167","15.461","12.061","15.247","10.863","0.498","21.920","5.256","0.215","164.294"
"4","GTLM","Oliver Gavin","50","1:42.559","1:26:52.114","Green","Track","21.225","15.454","12.143","15.123","10.904","0.499","21.728","5.267","0.216","163.964"
"67","GTLM","Ryan Briscoe","50","1:42.382","1:26:55.338","Green","Track","21.077","15.328","12.310","15.107","10.953","0.504","21.604","5.282","0.217","162.338"
"50","GTD","Gunnar Jeannette","48","1:45.920","1:27:01.982","Green","Track","21.856","15.998","12.673","15.579","11.077","0.507","22.611","5.397","0.222","161.377"
"16","GTD","Jeroen Mul","49","1:44.769","1:27:06.402","Green","Track","21.499","15.895","12.558","15.294","11.138","0.510","22.255","5.402","0.218","160.428"
"24","GTLM","John Edwards","40","1:43.269","1:27:06.502","Green","Track","21.275","15.398","12.295","15.090","11.004","0.508","22.143","5.337","0.219","161.059"
"912","GTLM","Gianmaria Bruni","50","1:42.609","1:27:10.965","Green","Track","21.014","15.340","12.345","15.103","11.101","0.509","21.624","5.353","0.220","160.743"
"96","GTD","Jesse Krohn","49","1:44.783","1:27:20.419","Green","Track","21.563","15.907","12.577","15.320","11.087","0.511","22.167","5.427","0.224","160.114"
"33","GTD","Trent Hindman","49","1:45.594","1:27:43.393","Green","Track","21.896","15.920","12.588","15.328","11.245","0.519","22.359","5.513","0.226","157.646"
"28","GTD","Patrick Long","47","1:46.175","1:27:44.114","Green","Track","22.183","15.951","12.821","15.415","11.079","0.505","22.560","5.439","0.222","162.016"
"73","GTD","Joerg Bergmeister","47","1:44.910","1:27:51.567","Green","Track","21.452","15.812","12.628","15.248","11.157","0.512","22.421","5.457","0.223","159.801"
"80","GTD","Mike Skeen","47","1:45.774","1:27:53.560","Green","Track","21.718","15.887","12.576","15.401","11.339","0.516","22.574","5.539","0.224","158.562"
"48","GTD","Bryan Sellers","49","1:45.540","1:27:54.942","Green","Track","21.540","16.196","12.647","15.469","11.164","0.511","22.351","5.439","0.223","160.114"
"15","GTD","Jack Hawksworth","49","1:45.626","1:27:56.496","Green","Track","21.825","15.971","12.564","15.533","11.160","0.513","22.429","5.409","0.222","159.490"
"57","GTD","Lawson Aschenbach","46","1:45.081","1:27:57.313","Green","Track","21.598","15.920","12.551","15.318","11.213","0.510","22.328","5.422","0.221","160.428"
"25","GTLM","Bill Auberlen","51","1:43.147","1:28:06.174","Green","Track","21.127","15.335","12.263","15.329","10.917","0.507","22.091","5.358","0.220","161.377"
"63","GTD","Alessandro Balzan","49","1:46.626","1:28:07.074","Green","Track","22.119","16.024","12.756","15.564","11.162","0.531","22.823","5.426","0.221","154.083"
"14","GTD","Robert Alon","48","1:46.117","1:28:14.290","Green","Track","21.871","16.108","12.592","15.587","11.209","0.516","22.571","5.440","0.223","158.562"
"911","GTLM","Patrick Pilet","50","1:43.517","1:28:17.295","Green","Track","21.223","15.500","12.335","15.163","11.143","0.512","22.021","5.397","0.223","159.801"
"62","GTLM","Toni Vilander","51","1:43.413","1:28:30.596","Green","Track","21.135","15.298","12.713","15.424","11.047","0.506","21.729","5.341","0.220","161.696"
"66","GTLM","Dirk Mueller","51","1:43.065","1:28:31.063","Green","Track","21.337","15.503","12.271","15.357","10.933","0.499","21.664","5.283","0.218","163.964"
"3","GTLM","Antonio Garcia","51","1:43.374","1:28:32.497","Green","Track","21.340","15.550","12.167","15.010","10.769","0.491","22.495","5.333","0.219","166.636"
"54","GTD","Colin Braun","48","1:47.213","1:28:32.580","Green","Track","21.881","16.153","12.766","16.261","11.109","0.502","22.872","5.447","0.222","162.984"
"4","GTLM","Oliver Gavin","51","1:42.723","1:28:34.837","Green","Track","21.266","15.524","12.152","15.027","10.904","0.499","21.859","5.275","0.217","163.964"
"67","GTLM","Ryan Briscoe","51","1:42.479","1:28:37.817","Green","Track","21.020","15.410","12.272","15.060","10.952","0.503","21.757","5.289","0.216","162.660"
"50","GTD","Gunnar Jeannette","49","1:46.046","1:28:48.028","Green","Track","21.972","15.952","12.558","15.610","11.098","0.508","22.709","5.417","0.222","161.059"
"24","GTLM","John Edwards","41","1:43.509","1:28:50.011","Green","Track","21.676","15.380","12.292","15.082","11.095","0.513","21.869","5.379","0.223","159.490"
"16","GTD","Jeroen Mul","50","1:46.144","1:28:52.546","Green","Track","22.419","16.023","12.622","15.320","11.122","0.508","22.455","5.452","0.223","161.059"
"912","GTLM","Gianmaria Bruni","51","1:43.133","1:28:54.098","Green","Track","21.191","15.373","12.349","15.083","11.127","0.508","21.914","5.367","0.221","161.059"
"96","GTD","Jesse Krohn","50","1:44.565","1:29:04.984","Green","Track","21.531","15.891","12.543","15.208","11.110","0.510","22.110","5.438","0.224","160.428"
"33","GTD","Trent Hindman","50","1:45.476","1:29:28.869","Green","Track","21.764","15.787","12.625","15.404","11.280","0.518","22.371","5.502","0.225","157.950"
"28","GTD","Patrick Long","48","1:45.426","1:29:29.540","Green","Track","21.727","15.868","12.686","15.476","11.102","0.504","22.408","5.434","0.221","162.338"
"73","GTD","Joerg Bergmeister","48","1:45.404","1:29:36.971","Green","Track","21.514","15.823","12.767","15.439","11.173","0.511","22.487","5.467","0.223","160.114"
"48","GTD","Bryan Sellers","50","1:46.046","1:29:40.988","Green","Track","21.625","16.157","12.631","15.448","11.140","0.508","22.855","5.459","0.223","161.059"
"15","GTD","Jack Hawksworth","50","1:45.499","1:29:41.995","Green","Track","21.772","15.948","12.556","15.435","11.134","0.510","22.500","5.421","0.223","160.428"
"57","GTD","Lawson Aschenbach","47","1:45.536","1:29:42.849","Green","Track","21.764","15.865","12.488","15.571","11.191","0.508","22.489","5.439","0.221","161.059"
"25","GTLM","Bill Auberlen","52","1:43.325","1:29:49.499","Green","Track","21.222","15.482","12.314","15.078","10.953","0.503","22.204","5.350","0.219","162.660"
"63","GTD","Alessandro Balzan","50","1:46.261","1:29:53.335","Green","Track","21.882","15.925","12.576","15.519","11.119","0.508","23.019","5.490","0.223","161.059"
"14","GTD","Robert Alon","49","1:46.535","1:30:00.825","Green","Track","22.010","16.155","12.577","15.574","11.214","0.512","22.791","5.479","0.223","159.801"
"911","GTLM","Patrick Pilet","51","1:43.730","1:30:01.025","Green","Track","21.269","15.393","12.304","15.040","11.087","0.507","22.450","5.457","0.223","161.377"
"62","GTLM","Toni Vilander","52","1:42.577","1:30:13.173","Green","Track","21.103","15.342","12.160","15.041","11.032","0.504","21.829","5.346","0.220","162.338"
"66","GTLM","Dirk Mueller","52","1:42.668","1:30:13.731","Green","Track","21.146","15.344","12.203","15.297","10.976","0.502","21.707","5.277","0.216","162.984"
"3","GTLM","Antonio Garcia","52","1:42.684","1:30:15.181","Green","Track","21.336","15.512","12.094","15.088","10.896","0.497","21.777","5.269","0.215","164.624"
"4","GTLM","Oliver Gavin","52","1:43.371","1:30:18.208","Green","Track","21.351","15.553","12.172","15.526","10.945","0.499","21.823","5.285","0.217","163.964"
"54","GTD","Colin Braun","49","1:47.419","1:30:19.999","Green","Track","22.255","16.189","12.628","16.475","11.121","0.506","22.615","5.409","0.221","161.696"
"67","GTLM","Ryan Briscoe","52","1:42.523","1:30:20.340","Green","Track","21.055","15.358","12.287","15.115","10.959","0.499","21.748","5.286","0.216","163.964"
"50","GTD","Gunnar Jeannette","50","1:46.020","1:30:34.048","Green","Track","21.869","15.925","12.582","15.898","11.085","0.505","22.506","5.428","0.222","162.016"
"24","GTLM","John Edwards","42","1:44.024","1:30:34.035","Green","Track","21.324","15.352","12.246","15.643","11.018","0.505","22.361","5.352","0.223","162.016"
"16","GTD","Jeroen Mul","51","1:44.656","1:30:37.202","Green","Track","21.478","15.911","12.505","15.278","11.130","0.508","22.209","5.417","0.220","161.059"
"912","GTLM","Gianmaria Bruni","52","1:43.290","1:30:37.388","Green","Track","21.210","15.523","12.462","15.137","11.059","0.505","21.860","5.316","0.218","162.016"
"96","GTD","Jesse Krohn","51","1:44.588","1:30:49.572","Green","Track","21.633","15.878","12.489","15.244","11.082","0.509","22.121","5.410","0.222","160.743"
"33","GTD","Trent Hindman","51","1:45.490","1:31:14.359","Green","Track","21.842","15.942","12.542","15.336","11.287","0.519","22.314","5.482","0.226","157.646"
"28","GTD","Patrick Long","49","1:45.362","1:31:14.902","Green","Track","21.629","15.955","12.705","15.444","11.057","0.503","22.449","5.399","0.221","162.660"
"73","GTD","Joerg Bergmeister","49","1:45.318","1:31:22.289","Green","Track","21.587","16.016","12.718","15.344","11.132","0.509","22.368","5.423","0.221","160.743"
"48","GTD","Bryan Sellers","51","1:45.625","1:31:26.613","Green","Track","21.602","16.123","12.706","15.536","11.161","0.510","22.348","5.417","0.222","160.428"
"15","GTD","Jack Hawksworth","51","1:45.286","1:31:27.281","Green","Track","21.841","16.014","12.545","15.500","11.099","0.508","22.177","5.380","0.222","161.059"
"25","GTLM","Bill Auberlen","53","1:43.091","1:31:32.590","Green","Track","21.390","15.372","12.211","15.193","10.915","0.502","21.982","5.308","0.218","162.984"
"63","GTD","Alessandro Balzan","51","1:46.470","1:31:39.805","Green","Track","21.724","16.038","13.063","15.909","11.147","0.510","22.460","5.399","0.220","160.428"
"911","GTLM","Patrick Pilet","52","1:43.114","1:31:44.139","Green","Track","21.405","15.365","12.323","15.130","11.081","0.509","21.735","5.347","0.219","160.743"
"14","GTD","Robert Alon","50","1:46.846","1:31:47.671","Green","Track","22.610","16.114","12.549","15.627","11.129","0.511","22.679","5.406","0.221","160.114"
"62","GTLM","Toni Vilander","53","1:42.670","1:31:55.843","Green","Track","21.037","15.252","12.125","15.030","10.986","0.504","22.191","5.327","0.218","162.338"
"66","GTLM","Dirk Mueller","53","1:42.467","1:31:56.198","Green","Track","21.252","15.259","12.066","14.957","10.862","0.495","22.025","5.335","0.216","165.289"
"3","GTLM","Antonio Garcia","53","1:42.344","1:31:57.525","Green","Track","21.120","15.452","12.051","15.085","10.849","0.497","21.845","5.231","0.214","164.624"
"4","GTLM","Oliver Gavin","53","1:42.691","1:32:00.899","Green","Track","21.240","15.483","12.021","15.069","10.885","0.498","21.938","5.340","0.217","164.294"
