"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"19","LMP3","Jan Heylen","29","2:11.367","1:11:29.042","Green","Pit","5.797","5.575","24.873","15.235","26.807","27.867","0.555","11.051","3.927","9.680","152.744","43.985"
"17","LMP3","Corey Lewis","30","2:01.344","1:11:29.775","Green","Track","5.930","5.622","24.740","15.350","26.698","27.523","0.556","10.657","1.479","2.789","152.469","116.787"
"26","LMP3","Matthew Bell","30","1:59.188","1:11:37.147","Green","Track","5.795","5.494","24.366","15.190","26.268","27.029","0.551","10.286","1.457","2.752","153.852","118.550"
"42","LMP3","Robby Foley","30","2:01.316","1:11:53.175","Green","Track","5.856","5.724","24.825","15.283","26.477","27.651","0.558","10.703","1.467","2.772","151.922","117.742"
"51","LMP3","Sean Rayhall","30","2:01.058","1:11:56.856","Green","Track","5.779","5.570","24.744","15.931","26.575","27.344","0.555","10.375","1.445","2.740","152.744","119.534"
"23","LMP3","Mike Skeen","30","2:09.126","1:12:04.345","Green","Track","5.825","5.737","24.806","22.154","27.008","27.979","0.552","10.797","1.485","2.783","153.574","116.315"
"77","MPC","Howard Jacobs","24","2:15.331","1:12:06.984","Green","Track","6.793","6.352","27.074","17.731","29.281","30.738","0.637","11.974","1.644","3.107","133.081","105.065"
"18","MPC","Wyatt Schwab","30","2:06.306","1:12:08.495","Green","Track","6.258","5.596","25.826","16.116","27.838","28.884","0.597","10.736","1.538","2.917","141.998","112.306"
"25","LMP3","Kenton Koch","26","2:00.996","1:12:08.573","Green","Track","5.868","5.389","24.920","15.234","26.390","27.722","0.555","10.680","1.465","2.773","152.744","117.903"
"47","LMP3","Austin McCusker","31","2:00.819","1:12:13.493","Green","Track","5.768","5.558","24.701","15.370","26.759","27.167","0.538","10.754","1.454","2.750","157.570","118.795"
"4","LMP3","Zacharie Robichon","30","2:00.844","1:12:24.488","Green","Track","5.824","5.572","24.626","15.212","26.841","27.648","0.553","10.350","1.461","2.757","153.296","118.225"
"55","LMP3","Scott Andrews","30","2:00.430","1:12:24.914","Green","Track","5.827","5.493","24.553","15.111","26.482","27.632","0.553","10.611","1.440","2.728","153.296","119.949"
"30","LMP3","Michael Whelden","31","2:03.178","1:12:31.718","Green","Track","5.800","5.794","24.668","17.225","27.079","27.182","0.544","10.688","1.458","2.740","155.832","118.469"
"86","MPC","Dave House","30","2:34.270","1:12:42.557","Green","Track","26.127","10.710","27.025","16.372","28.286","28.964","0.598","11.582","1.610","2.996","141.760","107.284"
"3","LMP3","Benjamin Waddell","31","2:01.696","1:12:43.277","Green","Track","5.861","5.668","24.908","15.600","26.655","27.331","0.547","10.864","1.485","2.777","154.978","116.315"
"28","MPC","Bart Wolf","28","2:08.104","1:12:54.240","Green","Track","6.378","5.927","25.912","16.154","27.816","29.165","0.607","11.525","1.604","3.016","139.659","107.685"
"7","LMP3","Pato O'Ward","31","1:59.955","1:12:55.012","Green","Track","5.764","5.368","24.448","15.112","26.216","27.210","0.549","11.050","1.476","2.762","154.413","117.024"
"22","MPC","Stephen Dawes","30","2:08.999","1:12:57.628","Green","Track","6.246","5.577","26.317","17.046","28.372","29.000","0.605","11.219","1.600","3.017","140.120","107.955"
"44","LMP3","Josh Hurley","31","2:01.884","1:13:03.118","Green","Track","5.839","5.755","24.751","15.291","26.887","27.726","0.549","10.846","1.476","2.764","154.413","117.024"
"33","LMP3","Lance Willsey (M)","31","2:02.871","1:13:10.558","Green","Track","5.933","5.743","25.260","15.568","26.746","27.787","0.557","10.995","1.491","2.791","152.195","115.847"
"36","MPC","Paul LaHaye","30","2:10.330","1:13:16.165","Yellow","Track","6.416","5.962","26.126","16.573","28.404","29.369","0.602","12.196","1.638","3.044","140.818","105.450"
"75","LMP3","Cameron Cassels (M)","31","2:03.873","1:13:32.404","Yellow","Track","5.845","5.942","25.135","15.467","27.185","27.955","0.553","11.435","1.533","2.823","153.296","112.673"
"17","LMP3","Corey Lewis","31","2:03.578","1:13:33.353","Yellow","Track","5.926","5.598","24.751","15.297","26.974","28.249","0.555","11.845","1.533","2.850","152.744","112.673"
"26","LMP3","Matthew Bell","31","1:59.930","1:13:37.077","Yellow","Track","5.798","5.509","24.436","15.152","26.305","27.369","0.552","10.588","1.466","2.755","153.574","117.822"
"42","LMP3","Robby Foley","31","2:04.540","1:13:57.715","Yellow","Track","5.887","5.787","24.947","15.299","26.658","27.931","0.633","12.964","1.560","2.874","133.922","110.723"
"51","LMP3","Sean Rayhall","31","2:02.380","1:13:59.236","Yellow","Track","5.814","5.572","24.411","15.315","26.265","28.159","0.569","11.892","1.537","2.846","148.985","112.379"
"23","LMP3","Mike Skeen","31","2:06.259","1:14:10.604","Yellow","Track","5.899","5.855","24.899","15.280","26.500","28.157","0.696","14.487","1.590","2.896","121.800","108.634"
"19","LMP3","Jan Heylen","30","2:44.186","1:14:13.228","Yellow","Track","37.600","9.900","25.974","15.519","27.288","28.921","0.677","13.873","1.569","2.865","125.218","110.087"
"25","LMP3","Kenton Koch","27","2:06.394","1:14:14.967","Yellow","Track","5.895","6.056","24.656","15.195","26.424","29.328","0.715","13.633","1.588","2.904","118.563","108.770"
"18","MPC","Wyatt Schwab","31","2:08.752","1:14:17.247","Yellow","Track","6.383","6.300","25.593","15.716","27.364","28.790","0.727","13.186","1.637","3.056","116.606","105.515"
