"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"62","GTLM","Alessandro Pier Guidi","1","28:59.593","28:59.593","Green","Track","112.738","27.680","21.841","7.788","6.466","6.026","10.425","7.223","6.319","5.214","0.470","3.003","174.081"
"66","GTLM","Joey Hand","2","1:46.523","29:30.337","Green","Track","11.474","23.823","19.791","7.627","6.357","5.921","9.713","7.009","6.223","5.156","0.466","2.963","175.575"
"3","GTLM","Antonio Garcia","2","1:45.608","29:35.328","Green","Track","11.295","23.539","19.611","7.638","6.382","5.926","9.344","7.001","6.256","5.182","0.468","2.966","174.825"
"4","GTLM","Oliver Gavin","2","1:45.690","29:36.238","Green","Track","11.254","23.591","19.847","7.658","6.352","5.887","9.387","6.989","6.193","5.129","0.464","2.939","176.332"
"24","GTLM","John Edwards","2","1:48.455","29:50.069","Green","Track","11.591","24.313","20.311","7.736","6.431","5.993","10.037","7.069","6.298","5.220","0.469","2.987","174.452"
"67","GTLM","Ryan Briscoe","2","1:47.087","29:59.064","Green","Track","11.591","24.310","20.132","7.625","6.327","5.882","9.517","7.001","6.170","5.117","0.463","2.952","176.713"
"25","GTLM","Alexander Sims","2","1:46.969","30:03.131","Green","Track","11.552","24.027","19.942","7.721","6.434","6.030","9.348","6.985","6.266","5.214","0.469","2.981","174.452"
"62","GTLM","Alessandro Pier Guidi","2","1:46.122","30:45.715","Green","Track","11.167","23.842","19.895","7.637","6.376","5.943","9.458","6.964","6.212","5.174","0.467","2.987","175.200"
"66","GTLM","Joey Hand","3","1:44.840","31:15.177","Green","Track","11.075","23.274","19.435","7.595","6.347","5.912","9.478","6.963","6.190","5.144","0.466","2.961","175.575"
"3","GTLM","Antonio Garcia","3","1:44.472","31:19.800","Green","Track","10.908","23.292","19.413","7.613","6.365","5.937","9.198","6.934","6.209","5.164","0.466","2.973","175.575"
"4","GTLM","Oliver Gavin","3","1:44.489","31:20.727","Green","Track","10.998","23.315","19.477","7.622","6.332","5.896","9.201","6.962","6.169","5.112","0.462","2.943","177.096"
"24","GTLM","John Edwards","3","1:47.246","31:37.315","Green","Track","11.356","23.829","19.978","7.721","6.403","6.034","9.858","7.108","6.291","5.217","0.469","2.982","174.452"
"67","GTLM","Ryan Briscoe","3","1:44.303","31:43.367","Green","Track","10.969","23.211","19.532","7.582","6.291","5.871","9.255","6.938","6.134","5.108","0.462","2.950","177.096"
"25","GTLM","Alexander Sims","3","1:45.056","31:48.187","Green","Track","10.976","23.495","19.381","7.667","6.404","5.982","9.203","7.010","6.254","5.218","0.470","2.996","174.081"
"912","GTLM","Earl Bamber","1","32:18.352","32:18.352","Green","Track","0.000","28.278","21.195","7.754","6.397","6.019","10.325","7.078","6.217","5.157","0.464","2.968","176.332"
"62","GTLM","Alessandro Pier Guidi","3","1:44.888","32:30.603","Green","Track","10.754","23.352","19.844","7.624","6.350","5.878","9.183","6.945","6.207","5.255","0.473","3.023","172.977"
"66","GTLM","Joey Hand","4","1:43.944","32:59.121","Green","Track","10.791","23.104","19.215","7.586","6.331","5.869","9.397","6.942","6.173","5.125","0.464","2.947","176.332"
"3","GTLM","Antonio Garcia","4","1:43.998","33:03.798","Green","Track","10.843","23.110","19.333","7.650","6.377","5.898","9.134","6.935","6.179","5.128","0.463","2.948","176.713"
