"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"63","GTD","Jeff Segal","1","6:57.972","6:57.972","Green","Pit","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"69","GTD","Sean Rayhall","2","2:25.207","6:58.338","Green","Pit","32.056","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"78","P","Ho-Pin Tung","3","2:43.594","6:58.887","Green","Pit","0.000","0.000","20.256","7.168","5.955","5.459","9.134","6.430","5.706","9.210","0.000","0.000","0.000"
"48","GTD","Bryce Miller","3","2:04.193","7:01.461","Green","Track","11.691","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"51","GTD","Pedro Lamy","3","1:49.215","7:01.943","Green","Track","12.668","25.954","21.842","7.858","6.401","6.088","11.236","7.154","6.220","5.132","0.460","2.928","177.866"
"82","GTD","Martin Fuentes","3","1:49.487","7:02.846","Green","Track","11.745","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"11","GTD","Mirko Bortolotti","3","1:57.458","7:05.613","Green","Track","12.841","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"96","GTD","Don Yount","3","1:52.624","7:09.461","Green","Track","12.053","25.223","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"67","GTLM","Richard Westbrook","3","1:44.491","7:13.683","Green","Track","10.850","23.144","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"19","GTD","Christian Engelhart","3","1:54.281","7:15.982","Green","Track","11.661","24.622","21.221","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"32","P","Hugo de Sadeleer","4","1:42.840","7:19.915","Green","Track","10.539","23.820","20.670","7.356","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2.712","192.967"
"58","GTD","Christina Nielsen","2","2:19.599","7:21.694","Green","Track","30.287","29.593","24.203","8.209","6.610","6.156","0.000","0.000","0.000","0.000","0.000","3.021","172.249"
"3","GTLM","Mike Rockenfeller","2","2:04.723","7:23.765","Green","Track","27.418","24.645","20.792","7.700","6.467","5.972","0.000","0.000","0.000","0.000","0.000","2.970","175.575"
"22","P","Johannes van Overbeek","4","1:39.077","7:23.859","Green","Track","10.561","21.832","19.177","6.920","5.772","5.407","0.000","0.000","0.000","0.000","0.000","2.685","193.882"
"93","GTD","Lawson Aschenbach","3","1:49.905","7:25.242","Green","Track","11.777","24.900","20.852","7.804","6.425","5.917","10.225","7.100","6.264","5.185","0.466","2.990","175.575"
"25","GTLM","Philipp Eng","2","1:55.631","7:25.898","Green","Track","12.453","26.889","21.412","8.379","6.856","7.126","10.630","7.073","6.211","5.160","0.466","2.976","175.575"
"4","GTLM","Oliver Gavin","2","2:06.858","7:27.036","Green","Track","29.288","25.479","20.069","7.737","6.387","5.951","10.139","7.048","6.198","5.143","0.463","2.956","176.713"
"5","P","Filipe Albuquerque","4","1:39.815","7:28.965","Green","Track","10.602","22.525","20.165","6.976","5.811","5.376","8.571","6.289","5.650","4.713","0.426","2.711","192.061"
"99","P","Stephen Simpson","3","1:42.745","7:32.027","Green","Track","11.704","23.207","20.001","7.118","5.904","5.496","9.413","6.358","5.650","4.725","0.428","2.741","191.164"
"20","P","Alex Popow","3","1:44.258","7:32.109","Green","Track","11.106","23.121","21.327","7.206","5.946","5.512","9.658","6.545","5.793","4.826","0.437","2.781","187.227"
"911","GTLM","Patrick Pilet","4","1:44.888","7:35.350","Green","Track","11.070","23.290","19.829","7.726","6.331","5.814","9.298","6.937","6.136","5.083","0.455","2.919","179.820"
"10","P","Jordan Taylor","4","1:40.027","7:38.049","Green","Track","10.259","22.121","20.225","7.090","5.820","5.380","9.199","6.411","5.656","4.719","0.425","2.722","192.513"
"2","P","Scott Sharp","3","2:26.600","7:39.410","Green","Track","49.577","26.444","21.493","7.139","5.918","5.743","10.215","6.447","5.686","4.759","0.431","2.748","189.833"
"59","GTD","Matteo Cairoli","4","1:46.905","7:39.723","Green","Track","11.323","23.891","20.205","7.734","6.372","5.846","9.779","7.031","6.213","5.111","0.460","2.940","177.866"
"31","P","Felipe Nasr","4","1:37.948","7:39.964","Green","Track","10.513","21.841","19.035","7.056","5.818","5.341","8.526","6.360","5.650","4.690","0.422","2.696","193.882"
"912","GTLM","Gianmaria Bruni","4","1:45.067","7:41.037","Green","Track","10.804","23.371","20.222","7.701","6.366","5.809","9.357","6.917","6.122","5.046","0.456","2.896","179.426"
