"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"10","P","Jordan Taylor","11","1:38.152","50:35.617","Green","Track","10.333","0.000","0.000","6.916","5.744","5.311","8.697","6.241","5.577","4.648","0.419","2.676","195.270"
"63","GTD","Gunnar Jeannette","26","1:48.791","50:35.628","Green","Track","11.559","0.000","0.000","7.812","6.443","5.974","9.945","7.067","6.259","5.229","0.472","3.023","173.344"
"3","GTLM","Mike Rockenfeller","18","1:49.356","50:44.269","Green","Track","11.171","0.000","0.000","7.717","6.393","7.150","11.297","7.039","6.224","5.142","0.464","2.979","176.332"
"71","GTD","Loris Spinelli","23","3:42.173","50:49.753","Green","Track","123.589","0.000","0.000","7.868","6.501","6.023","9.949","7.197","6.314","5.249","0.472","3.009","173.344"
"77","P","Oliver Jarvis","23","1:53.221","50:53.553","Green","Pit","10.433","0.000","0.000","7.011","5.814","5.913","9.495","6.328","5.666","7.650","0.000","0.000","0.000"
"85","P","Devlin DeFrancesco","23","1:42.542","51:04.604","Green","Track","10.622","24.121","20.495","6.979","5.862","5.456","9.031","6.342","5.690","4.762","0.430","2.752","190.275"
"75","GTD","Mikael Grenier","18","7:34.104","51:08.766","Green","Pit","11.811","0.000","0.000","7.847","6.479","5.962","10.324","7.140","6.286","10.704","0.000","0.000","0.000"
"38","P","Kyle Masson","21","1:41.014","51:11.709","Green","Track","10.608","22.416","19.619","7.022","5.833","5.445","9.880","6.530","5.715","4.767","0.430","2.749","190.275"
"69","GTD","Chad Gilsinger","22","4:32.035","51:13.519","Green","Track","165.914","29.191","23.737","8.006","6.478","6.057","10.570","7.172","6.269","5.185","0.471","2.985","173.712"
"78","P","Ferdinand Habsburg-Lothringen","29","1:38.518","51:17.661","Green","Track","10.279","21.864","19.504","7.045","5.835","5.418","8.739","6.286","5.661","4.725","0.427","2.735","191.612"
"55","P","Jonathan Bomarito","20","1:38.591","51:18.337","Green","Track","10.431","21.954","18.972","6.993","5.820","5.462","8.958","6.342","5.687","4.776","0.430","2.766","190.275"
"37","P","Daniel Juncadella","28","1:39.259","51:20.650","Green","Track","11.120","22.158","19.098","7.061","5.871","5.426","8.569","6.345","5.700","4.746","0.428","2.737","191.164"
"5","P","Joao Barbosa","20","1:38.561","51:21.290","Green","Track","10.529","22.159","19.209","6.986","5.754","5.337","8.895","6.299","5.607","4.673","0.422","2.691","193.882"
"2","P","Ryan Dalziel","20","3:57.805","51:37.691","Green","Track","146.287","24.586","19.626","6.964","5.866","5.471","8.972","6.387","5.707","4.762","0.430","2.747","190.275"
"54","P","Loic Duval","24","1:39.784","51:39.667","Green","Track","10.564","21.980","20.326","7.156","5.867","5.423","8.507","6.337","5.728","4.739","0.427","2.730","191.612"
