"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"3","LMP3","Benjamin Waddell","5","2:00.246","12:29.520","Green","Track","5.710","5.671","24.814","15.143","26.227","27.458","0.564","10.454","1.461","2.744","150.306","118.225"
"86","MPC","Dave House","4","2:08.455","12:36.072","Green","Track","6.171","5.888","26.208","15.947","28.126","29.652","0.614","11.330","1.576","2.943","138.066","109.599"
"30","LMP3","Michael Whelden","5","3:52.667","12:49.998","Green","Pit","5.867","5.952","25.126","15.258","26.956","28.152","0.559","11.606","3.782","109.409","151.651","45.671"
"19","LMP3","Brad Baker","5","2:11.833","12:56.094","Green","Track","6.213","6.337","27.066","16.246","28.949","29.315","0.576","12.590","1.617","2.924","147.175","106.820"
"42","LMP3","Robby Foley","6","2:03.621","13:01.631","Green","Track","5.836","6.061","25.122","15.721","27.069","28.216","0.563","10.836","1.455","2.742","150.573","118.713"
"75","LMP3","Cameron Cassels","6","2:06.926","13:03.299","Green","Track","5.929","6.177","25.737","15.544","27.453","29.024","0.670","12.145","1.486","2.761","126.526","116.236"
"33","LMP3","Lance Willsey","6","2:06.809","13:03.595","Green","Track","5.898","6.093","25.912","15.948","27.810","28.390","0.597","11.887","1.498","2.776","141.998","115.305"
"77","MPC","Howard Jacobs","5","2:19.317","13:15.811","Green","Track","7.459","6.980","27.840","17.193","29.700","31.772","0.644","12.896","1.674","3.159","131.635","103.182"
"25","LMP3","Joel Janco","6","2:06.566","13:18.655","Green","Track","5.821","5.886","25.638","15.711","27.487","30.019","0.565","11.165","1.492","2.782","150.040","115.769"
"22","MPC","Stephen Dawes","6","2:10.308","13:19.408","Green","Track","6.232","5.589","26.079","16.905","28.464","30.530","0.615","11.382","1.565","2.947","137.842","110.369"
"26","LMP3","James McGuire","6","2:06.196","13:32.485","Green","Track","5.878","6.132","25.715","15.510","28.562","28.513","0.567","10.973","1.520","2.826","149.511","113.636"
